발생일시,진화일시,주소,진행상태,대응단계
2025-01-01 15:43,2025-01-01 17:25,충청북도 증평군 도안면,진화완료,초기대응
2025-01-01 14:11,2025-01-01 15:15,강원특별자치도 강릉시 성산면,진화완료,초기대응
2025-01-01 13:11,2025-01-01 14:17,경상북도 성주군 가천면,진화완료,초기대응
2025-01-01 12:00,2025-01-01 13:17,경상북도 안동시 남후면,진화완료,초기대응
2025-01-01 06:24,2025-01-01 07:34,충청북도 충주시 산척면,진화완료,초기대응
2024-12-31 14:15,2025-01-01 09:20,대구광역시 군위군 삼국유사면,진화완료,1단계
2024-12-30 15:00,2024-12-30 15:43,경기도 양평군 강하면,진화완료,초기대응
2024-12-30 13:08,2024-12-30 14:02,경기도 파주시 금릉동,진화완료,초기대응
2024-12-29 14:10,2024-12-29 15:42,강원특별자치도 강릉시 운정동,진화완료,초기대응
2024-12-28 09:26,2024-12-28 12:00,강원특별자치도 양양군 현북면,진화완료,초기대응
2024-12-26 22:38,2024-12-27 00:45,전라남도 여수시 남면,진화완료,초기대응
2024-12-26 13:41,2024-12-26 14:45,전라남도 순천시 별량면,진화완료,초기대응
2024-12-26 12:15,2024-12-26 13:20,대구광역시 군위군 군위읍,진화완료,초기대응
2024-12-24 17:55,2024-12-24 19:52,경상북도 구미시 산동읍,진화완료,초기대응
2024-12-23 06:48,2024-12-23 07:50,강원특별자치도 고성군 거진읍,진화완료,초기대응
2024-12-20 13:32,2024-12-20 14:20,경기도 남양주시 화도읍,진화완료,초기대응
2024-12-19 22:03,2024-12-20 08:17,경상남도 남해군 미조면,진화완료,초기대응
2024-12-19 13:33,2024-12-19 14:14,경기도 파주시 광탄면,진화완료,초기대응
2024-12-19 12:24,2024-12-19 13:20,충청북도 괴산군 연풍면,진화완료,초기대응
2024-12-18 13:52,2024-12-18 14:50,강원특별자치도 춘천시 동면,진화완료,초기대응
2024-12-18 11:57,2024-12-18 12:55,경기도 포천시 창수면,진화완료,초기대응
2024-12-17 12:13,2024-12-17 13:45,경기도 가평군 상면,진화완료,초기대응
2024-12-15 12:54,2024-12-15 14:42,경상북도 봉화군 법전면,진화완료,초기대응
2024-12-14 15:32,2024-12-14 17:10,강원특별자치도 인제군 기린면,진화완료,초기대응
2024-12-14 11:07,2024-12-14 11:52,경상북도 영천시 대창면,진화완료,초기대응
2024-12-12 13:14,2024-12-12 14:40,전라남도 장흥군 관산읍,진화완료,초기대응
2024-12-12 12:47,2024-12-12 14:50,울산광역시 울주군 범서읍,진화완료,초기대응
2024-12-12 11:42,2024-12-12 12:15,경기도 광주시 직동,진화완료,초기대응
